Дата,Максимальная температура,Минимальная температура,Средняя температура,Атмосферное давление,Скорость ветра,Осадки,Эффективная температура,city
03.01.2014,-2.0,-12.0,-5.7,,4,1.0,-10.5,Kazan
04.01.2014,-6.0,-12.0,-8.3,,4,0.0,-13.3,Kazan
05.01.2014,-4.5,-7.2,-6.0,,6,0.0,-12.1,Kazan
06.01.2014,-3.5,-8.0,-5.7,,6,,-11.8,Kazan
07.01.2014,-1.0,-4.9,-2.2,,2,0.0,-5.3,Kazan
08.01.2014,1.0,-3.0,-0.7,,7,1.0,-6.9,Kazan
09.01.2014,1.0,0.0,0.8,,5,1.0,-3.9,Kazan
10.01.2014,1.0,-1.0,-0.1,,3,,-3.5,Kazan
11.01.2014,1.0,-0.7,0.0,,8,7.0,-6.7,Kazan
12.01.2014,1.0,-2.0,-0.2,,4,1.0,-4.4,Kazan
13.01.2014,0.2,-1.9,-0.6,,8,6.0,-7.4,Kazan
14.01.2014,0.0,-7.0,-4.2,,5,1.0,-9.5,Kazan
15.01.2014,-7.0,-11.0,-9.4,,5,,-15.2,Kazan
16.01.2014,-9.0,-12.4,-10.2,,6,1.0,-16.7,Kazan
17.01.2014,-7.7,-15.0,-9.6,,6,4.0,-16.0,Kazan
18.01.2014,-14.0,-17.0,-15.2,,6,0.0,-22.1,Kazan
19.01.2014,-16.2,-25.0,-21.6,,5,,-28.2,Kazan
20.01.2014,-9.0,-24.0,-16.3,,5,,-22.6,Kazan
21.01.2014,-9.0,-20.0,-12.8,,5,0.0,-18.9,Kazan
22.01.2014,-14.5,-21.0,-16.8,,2,0.0,-21.2,Kazan
23.01.2014,-14.2,-19.0,-16.1,,3,,-21.1,Kazan
24.01.2014,-13.9,-24.0,-17.6,,6,0.0,-24.6,Kazan
25.01.2014,-17.9,-27.0,-23.9,,2,0.0,-28.7,Kazan
26.01.2014,-20.0,-29.0,-23.8,,3,0.0,-29.3,Kazan
27.01.2014,-15.0,-25.0,-19.8,,3,,-25.0,Kazan
28.01.2014,-22.7,-29.0,-25.8,,4,0.0,-32.0,Kazan
29.01.2014,-26.3,-31.0,-29.2,,5,0.0,-36.2,Kazan
30.01.2014,-19.0,-32.0,-23.7,,4,,-29.8,Kazan
31.01.2014,-18.0,-27.0,-22.8,,3,0.0,-28.2,Kazan
01.02.2014,-18.6,-29.0,-25.4,,2,0.0,-30.3,Kazan
02.02.2014,-13.0,-30.0,-21.5,,4,0.0,-27.5,Kazan
03.02.2014,-10.7,-18.3,-11.7,,3,1.0,-16.4,Kazan
04.02.2014,-12.0,-18.0,-13.6,,4,11.0,-19.1,Kazan
05.02.2014,-16.0,-24.0,-20.2,,3,,-25.4,Kazan
06.02.2014,-13.9,-29.0,-21.8,,2,0.0,-26.5,Kazan
07.02.2014,-21.4,-32.0,-25.9,,4,,-32.1,Kazan
08.02.2014,-13.0,-23.6,-17.2,,6,,-24.2,Kazan
09.02.2014,-10.0,-16.2,-11.8,,7,0.0,-19.1,Kazan
10.02.2014,-9.9,-17.0,-12.4,,6,0.0,-19.1,Kazan
11.02.2014,-10.0,-16.2,-11.9,,7,2.0,-19.2,Kazan
12.02.2014,-7.0,-11.0,-9.5,,4,1.0,-14.6,Kazan
13.02.2014,-2.0,-9.6,-3.9,,4,0.0,-8.5,Kazan
14.02.2014,2.0,-3.0,-0.2,,6,3.0,-5.6,Kazan
15.02.2014,1.4,-6.0,-1.9,,6,0.0,-7.7,Kazan
16.02.2014,-3.7,-6.1,-4.7,,4,3.0,-9.4,Kazan
17.02.2014,-3.7,-5.2,-4.4,,5,0.0,-9.7,Kazan
18.02.2014,-3.5,-5.0,-4.4,,4,3.0,-9.0,Kazan
19.02.2014,1.0,-4.5,-0.3,,4,,-4.5,Kazan
20.02.2014,2.0,-5.0,-0.7,,3,,-4.3,Kazan
21.02.2014,-4.5,-23.0,-12.2,,4,,-17.6,Kazan
22.02.2014,-15.7,-27.0,-23.0,,3,0.0,-28.4,Kazan
23.02.2014,-12.0,-28.0,-18.1,,7,0.0,-25.8,Kazan
24.02.2014,-5.0,-14.3,-8.4,,5,,-14.1,Kazan
25.02.2014,-3.0,-10.0,-5.9,,5,0.0,-11.4,Kazan
26.02.2014,-0.2,-10.0,-5.8,,5,0.0,-11.4,Kazan
27.02.2014,1.0,-15.0,-7.7,,3,0.0,-12.1,Kazan
28.02.2014,-3.0,-10.0,-5.4,,2,0.0,-8.8,Kazan
01.03.2014,-3.0,-6.0,-4.5,,4,,-9.2,Kazan
02.03.2014,-3.0,-10.0,-5.8,,4,0.0,-10.6,Kazan
03.03.2014,-4.7,-13.0,-8.8,,4,0.0,-13.9,Kazan
04.03.2014,-4.4,-12.0,-9.3,,3,0.0,-13.8,Kazan
05.03.2014,-1.2,-13.0,-8.9,,2,0.0,-12.7,Kazan
06.03.2014,2.0,-8.0,-3.5,,3,0.0,-7.5,Kazan
07.03.2014,1.0,-11.0,-5.4,,3,0.0,-9.6,Kazan
08.03.2014,3.5,-6.0,-1.1,,5,0.0,-6.2,Kazan
09.03.2014,2.2,-5.0,-0.9,,4,0.0,-5.3,Kazan
10.03.2014,5.4,-6.0,0.9,,5,0.0,-4.1,Kazan
11.03.2014,6.8,-4.0,1.8,,5,0.0,-3.0,Kazan
12.03.2014,3.7,-1.0,1.5,,3,0.0,-1.9,Kazan
13.03.2014,3.9,-1.0,1.2,,6,1.0,-4.2,Kazan
14.03.2014,3.7,-3.0,1.5,,6,0.0,-4.0,Kazan
15.03.2014,4.2,0.0,1.7,,8,,-5.1,Kazan
16.03.2014,3.0,1.0,2.2,,9,,-5.0,Kazan
17.03.2014,2.9,-3.0,0.3,,4,,-3.9,Kazan
18.03.2014,1.0,-2.3,-0.7,,6,,-6.2,Kazan
19.03.2014,-1.0,-6.0,-3.3,,10,,-11.8,Kazan
20.03.2014,-1.5,-10.0,-5.4,,4,0.0,-10.3,Kazan
21.03.2014,0.0,-11.0,-4.7,,4,0.0,-9.6,Kazan
22.03.2014,5.7,-3.7,1.8,,6,0.0,-3.7,Kazan
23.03.2014,8.4,0.0,2.6,,3,0.0,-0.7,Kazan
24.03.2014,9.2,0.0,3.2,,5,0.0,-1.4,Kazan
25.03.2014,9.4,0.0,3.3,,4,0.0,-0.7,Kazan
26.03.2014,6.4,-4.0,1.1,,5,4.0,-3.7,Kazan
27.03.2014,5.4,-5.0,0.2,,4,0.0,-4.3,Kazan
28.03.2014,2.0,-8.0,-2.2,,6,0.0,-8.1,Kazan
29.03.2014,-1.0,-8.0,-3.5,,7,0.0,-10.1,Kazan
30.03.2014,2.4,-8.0,-3.4,,3,0.0,-7.5,Kazan
31.03.2014,0.0,-7.0,-2.6,,6,0.0,-8.6,Kazan
01.04.2014,0.5,-5.0,-2.2,,4,,-6.8,Kazan
01.01.2014,2.2,-2.0,0.5,,4,,-3.7,StPetersburg
02.01.2014,-1.0,-3.0,-2.3,,3,,-6.1,StPetersburg
03.01.2014,0.0,-2.0,-1.2,,3,0.0,-4.9,StPetersburg
04.01.2014,1.7,-0.6,1.0,,4,1.0,-3.0,StPetersburg
05.01.2014,4.0,1.0,2.9,,2,1.0,0.4,StPetersburg
06.01.2014,2.5,0.0,0.7,,3,1.0,-2.7,StPetersburg
07.01.2014,4.0,1.0,2.2,,4,3.0,-1.7,StPetersburg
08.01.2014,6.0,0.2,4.0,,3,12.0,1.1,StPetersburg
09.01.2014,6.0,3.0,4.6,,3,9.0,1.7,StPetersburg
10.01.2014,4.0,-2.0,1.9,,4,13.0,-2.0,StPetersburg
11.01.2014,-2.0,-6.0,-4.7,,5,2.0,-10.1,StPetersburg
12.01.2014,-5.0,-8.0,-5.7,,3,0.0,-9.9,StPetersburg
13.01.2014,-7.0,-10.0,-7.9,,5,2.0,-13.6,StPetersburg
14.01.2014,-8.0,-11.8,-9.0,,4,,-14.1,StPetersburg
15.01.2014,-7.2,-14.0,-10.2,,2,0.0,-14.1,StPetersburg
16.01.2014,-7.0,-10.3,-9.2,,2,1.0,-13.0,StPetersburg
17.01.2014,-9.1,-16.0,-12.1,,1,1.0,-15.5,StPetersburg
18.01.2014,-10.5,-15.0,-13.2,,1,1.0,-16.7,StPetersburg
19.01.2014,-8.9,-17.0,-13.9,,3,0.0,-18.7,StPetersburg
20.01.2014,-9.7,-16.3,-12.1,,3,,-16.8,StPetersburg
21.01.2014,-7.4,-11.1,-9.0,,2,,-12.8,StPetersburg
22.01.2014,-9.5,-20.0,-12.6,,2,1.0,-16.7,StPetersburg
23.01.2014,-14.0,-22.0,-17.6,,1,,-21.4,StPetersburg
24.01.2014,-10.9,-18.2,-13.5,,1,0.0,-17.0,StPetersburg
25.01.2014,-8.0,-15.0,-9.4,,5,0.0,-15.2,StPetersburg
26.01.2014,-7.2,-10.0,-8.2,,3,0.0,-12.6,StPetersburg
27.01.2014,-8.7,-18.0,-13.2,,3,0.0,-18.0,StPetersburg
28.01.2014,-11.0,-19.0,-15.7,,4,,-21.3,StPetersburg
29.01.2014,-14.2,-22.0,-19.2,,4,0.0,-25.1,StPetersburg
30.01.2014,-15.0,-22.0,-19.1,,4,0.0,-25.0,StPetersburg
31.01.2014,-8.7,-20.0,-14.8,,6,,-21.8,StPetersburg
01.02.2014,-5.0,-11.5,-7.4,,6,2.0,-13.8,StPetersburg
02.02.2014,-3.7,-7.0,-5.3,,4,4.0,-10.3,StPetersburg
03.02.2014,-2.0,-4.4,-3.7,,3,2.0,-7.7,StPetersburg
04.02.2014,0.0,-5.0,-1.6,,4,1.0,-5.9,StPetersburg
05.02.2014,-3.0,-5.0,-3.9,,3,,-7.8,StPetersburg
06.02.2014,-4.5,-11.0,-7.6,,4,0.0,-12.6,StPetersburg
07.02.2014,-1.5,-13.0,-6.8,,2,,-10.4,StPetersburg
08.02.2014,2.2,-3.1,0.1,,5,1.0,-4.7,StPetersburg
09.02.2014,2.9,1.0,1.7,,4,1.0,-2.3,StPetersburg
10.02.2014,2.5,1.0,1.2,,4,2.0,-2.8,StPetersburg
11.02.2014,2.4,1.0,1.4,,2,3.0,-1.2,StPetersburg
12.02.2014,2.2,0.0,1.2,,3,2.0,-2.1,StPetersburg
13.02.2014,2.4,1.0,1.4,,2,2.0,-1.3,StPetersburg
14.02.2014,2.0,0.0,0.7,,2,0.0,-2.1,StPetersburg
15.02.2014,1.0,0.0,0.1,,2,,-2.8,StPetersburg
16.02.2014,2.0,0.0,0.8,,4,3.0,-3.3,StPetersburg
17.02.2014,3.5,0.9,1.8,,4,1.0,-2.1,StPetersburg
18.02.2014,2.0,0.0,1.0,,5,5.0,-3.7,StPetersburg
19.02.2014,1.0,-0.2,0.2,,4,3.0,-3.9,StPetersburg
20.02.2014,0.0,-3.0,-1.7,,2,1.0,-4.8,StPetersburg
21.02.2014,-1.5,-4.0,-2.7,,4,0.0,-7.3,StPetersburg
22.02.2014,3.2,-2.0,1.3,,5,4.0,-3.4,StPetersburg
23.02.2014,4.0,1.0,3.0,,4,3.0,-0.9,StPetersburg
24.02.2014,8.0,3.0,4.9,,5,0.0,0.5,StPetersburg
25.02.2014,5.0,-1.0,1.5,,4,0.0,-2.6,StPetersburg
26.02.2014,5.0,-3.0,0.1,,3,0.0,-3.6,StPetersburg
27.02.2014,5.0,-5.0,-0.4,,2,0.0,-3.6,StPetersburg
28.02.2014,6.0,-4.0,0.1,,2,0.0,-3.1,StPetersburg
01.03.2014,1.7,-5.0,-0.8,,3,0.0,-4.5,StPetersburg
02.03.2014,4.4,0.0,1.8,,3,0.0,-1.8,StPetersburg
03.03.2014,4.0,1.0,2.2,,4,0.0,-1.9,StPetersburg
04.03.2014,3.0,1.0,1.8,,2,,-0.9,StPetersburg
05.03.2014,3.0,-4.0,1.1,,3,0.0,-2.5,StPetersburg
06.03.2014,2.4,-4.0,-0.1,,3,0.0,-3.7,StPetersburg
07.03.2014,6.0,0.0,3.2,,4,0.0,-0.8,StPetersburg
08.03.2014,6.0,2.5,4.1,,7,,-1.8,StPetersburg
09.03.2014,8.0,1.0,4.7,,6,0.0,-0.7,StPetersburg
10.03.2014,11.0,2.0,6.6,,5,,2.3,StPetersburg
11.03.2014,7.0,-2.0,3.2,,6,3.0,-2.1,StPetersburg
12.03.2014,9.0,-2.0,3.4,,6,0.0,-1.9,StPetersburg
13.03.2014,8.0,1.0,4.3,,5,0.0,-0.2,StPetersburg
14.03.2014,6.0,1.0,3.4,,8,0.0,-3.4,StPetersburg
15.03.2014,2.0,0.0,0.6,,4,8.0,-3.5,StPetersburg
16.03.2014,0.0,-6.0,-2.3,,7,8.0,-8.7,StPetersburg
17.03.2014,-0.9,-9.0,-4.6,,2,,-8.1,StPetersburg
18.03.2014,1.0,-11.0,-4.8,,3,0.0,-9.1,StPetersburg
19.03.2014,1.0,-9.0,-3.4,,3,3.0,-7.4,StPetersburg
20.03.2014,1.0,-13.0,-4.7,,3,3.0,-8.9,StPetersburg
21.03.2014,11.0,-2.9,5.4,,7,2.0,-0.3,StPetersburg
22.03.2014,10.0,-1.0,5.2,,4,0.0,1.4,StPetersburg
23.03.2014,6.0,-1.0,2.9,,4,10.0,-0.9,StPetersburg
24.03.2014,10.0,1.0,4.1,,2,0.0,1.6,StPetersburg
25.03.2014,8.6,-1.0,4.4,,2,0.0,1.8,StPetersburg
26.03.2014,7.0,-3.0,2.8,,5,0.0,-2.2,StPetersburg
27.03.2014,9.0,-4.0,3.1,,3,0.0,-0.6,StPetersburg
28.03.2014,4.0,-2.0,2.4,,3,0.0,-1.4,StPetersburg
29.03.2014,7.0,-5.0,1.2,,2,0.0,-2.0,StPetersburg
30.03.2014,7.0,-2.0,2.3,,4,,-1.9,StPetersburg
31.03.2014,2.0,-3.0,-0.1,,3,,-4.1,StPetersburg
01.04.2014,4.0,-4.0,0.3,,3,0.0,-3.5,StPetersburg
01.01.2014,-1.0,-3.4,-1.7,1013.7,1,0.0,-4.1,Voronezh
02.01.2014,-2.0,-4.0,-3.0,1011.5,2,,-6.2,Voronezh
03.01.2014,-2.4,-3.8,-2.9,1009.6,3,,-6.8,Voronezh
04.01.2014,-2.0,-2.9,-2.3,1009.4,3,0.0,-6.1,Voronezh
05.01.2014,1.0,-2.3,0.1,1007.5,2,,-2.7,Voronezh
06.01.2014,0.9,-0.8,-0.1,1003.4,4,0.0,-4.3,Voronezh
07.01.2014,0.9,-0.1,0.4,1000.2,1,1.0,-1.7,Voronezh
08.01.2014,0.9,-0.1,0.5,1002.4,2,,-2.3,Voronezh
09.01.2014,2.5,0.7,1.5,990.8,3,6.0,-1.8,Voronezh
10.01.2014,4.7,1.1,2.9,988.5,4,,-0.9,Voronezh
11.01.2014,3.5,1.7,2.5,978.9,6,1.0,-2.7,Voronezh
12.01.2014,3.2,0.0,1.9,985.6,4,,-2.2,Voronezh
13.01.2014,0.9,-4.7,-0.7,978.7,4,1.0,-5.0,Voronezh
14.01.2014,-5.5,-7.2,-6.4,995.8,4,,-11.4,Voronezh
15.01.2014,-4.2,-11.0,-6.9,1002.5,3,,-11.3,Voronezh
16.01.2014,1.9,-5.9,-0.3,988.8,4,4.0,-4.5,Voronezh
17.01.2014,-4.9,-11.2,-8.1,996.2,5,,-13.8,Voronezh
18.01.2014,-9.8,-12.9,-11.3,998.2,2,3.0,-15.3,Voronezh
19.01.2014,-12.5,-19.7,-16.7,1005.0,3,,-21.8,Voronezh
20.01.2014,-12.7,-22.2,-17.9,1012.5,1,0.0,-21.7,Voronezh
21.01.2014,-10.7,-18.8,-15.7,1012.3,1,0.0,-19.4,Voronezh
22.01.2014,-11.2,-17.1,-13.4,1001.0,3,1.0,-18.2,Voronezh
23.01.2014,-11.7,-13.0,-12.4,993.5,3,2.0,-17.2,Voronezh
24.01.2014,-12.7,-15.7,-13.9,997.7,3,1.0,-18.8,Voronezh
25.01.2014,-13.5,-20.5,-17.2,1007.9,3,0.0,-22.3,Voronezh
26.01.2014,-13.9,-24.2,-19.8,1010.1,1,,-23.7,Voronezh
27.01.2014,-15.5,-22.8,-19.7,1008.2,1,,-23.6,Voronezh
28.01.2014,-16.7,-22.6,-19.8,1011.3,2,0.0,-24.4,Voronezh
29.01.2014,-20.8,-25.8,-23.3,1020.6,2,0.0,-28.1,Voronezh
30.01.2014,-20.2,-29.5,-25.6,1030.9,2,0.0,-30.5,Voronezh
31.01.2014,-16.7,-28.6,-23.4,1035.6,1,0.0,-27.6,Voronezh
01.02.2014,-14.6,-25.3,-20.6,1033.0,1,0.0,-24.6,Voronezh
02.02.2014,-14.5,-24.8,-19.4,1029.3,2,0.0,-24.0,Voronezh
03.02.2014,-9.0,-22.4,-15.6,1020.1,2,0.0,-20.0,Voronezh
04.02.2014,-5.2,-12.5,-7.7,1007.4,4,0.0,-12.8,Voronezh
05.02.2014,-4.9,-8.7,-5.3,1005.6,2,0.0,-8.7,Voronezh
06.02.2014,-5.7,-12.0,-8.4,1004.9,1,0.0,-11.5,Voronezh
07.02.2014,-5.4,-12.1,-7.6,1001.2,3,,-11.9,Voronezh
08.02.2014,-2.0,-6.4,-3.2,999.5,2,1.0,-6.4,Voronezh
09.02.2014,-1.7,-5.0,-3.3,998.3,3,9.0,-7.2,Voronezh
10.02.2014,-1.0,-3.8,-2.5,997.0,2,0.0,-5.6,Voronezh
11.02.2014,1.7,-3.5,-0.3,998.2,2,1.0,-3.2,Voronezh
12.02.2014,2.2,0.5,1.2,999.3,2,0.0,-1.5,Voronezh
13.02.2014,2.9,0.6,1.6,997.9,2,,-1.0,Voronezh
14.02.2014,1.9,0.4,1.1,996.1,4,1.0,-2.9,Voronezh
15.02.2014,1.6,0.4,0.8,997.2,1,,-1.3,Voronezh
16.02.2014,2.5,0.2,1.1,999.5,1,0.0,-1.0,Voronezh
17.02.2014,1.9,-0.2,0.7,993.4,2,2.0,-2.1,Voronezh
18.02.2014,3.2,0.2,1.8,992.5,5,0.0,-2.9,Voronezh
19.02.2014,2.4,1.0,1.7,994.7,5,0.0,-3.1,Voronezh
20.02.2014,1.9,0.5,1.3,987.1,3,4.0,-2.1,Voronezh
21.02.2014,2.2,-3.7,-0.1,996.6,2,,-3.3,Voronezh
22.02.2014,3.2,-0.8,1.5,1006.7,3,0.0,-2.1,Voronezh
23.02.2014,0.7,-2.7,-1.4,1013.3,4,0.0,-5.9,Voronezh
24.02.2014,-1.6,-7.0,-3.7,1017.1,3,0.0,-7.8,Voronezh
25.02.2014,-1.8,-10.0,-6.6,1017.7,2,0.0,-10.4,Voronezh
26.02.2014,-2.4,-12.0,-7.6,1014.6,3,0.0,-12.1,Voronezh
27.02.2014,2.6,-7.8,-3.4,1010.4,3,0.0,-7.8,Voronezh
28.02.2014,1.2,-8.0,-4.0,1004.7,2,0.0,-7.7,Voronezh
01.03.2014,-1.7,-4.8,-3.2,1002.7,2,1.0,-6.5,Voronezh
02.03.2014,1.0,-2.6,-0.6,1001.8,2,0.0,-3.6,Voronezh
03.03.2014,1.4,-2.2,-0.3,999.0,3,,-4.0,Voronezh
04.03.2014,0.9,-2.5,-0.4,996.8,3,13.0,-4.0,Voronezh
05.03.2014,1.7,-2.6,-0.5,1000.9,2,0.0,-3.5,Voronezh
06.03.2014,2.7,-2.6,-0.2,1008.8,2,0.0,-3.2,Voronezh
07.03.2014,4.6,-5.6,-0.7,1016.7,2,0.0,-4.0,Voronezh
08.03.2014,4.0,-3.4,0.2,1017.0,2,0.0,-2.9,Voronezh
09.03.2014,5.3,-2.5,1.0,1012.9,1,0.0,-1.3,Voronezh
10.03.2014,7.2,-2.6,1.3,1013.4,1,0.0,-0.9,Voronezh
11.03.2014,12.9,-1.0,6.4,1000.2,2,0.0,3.7,Voronezh
12.03.2014,3.9,0.2,2.6,998.1,3,0.0,-0.9,Voronezh
13.03.2014,7.7,0.3,3.7,993.8,4,0.0,-0.3,Voronezh
14.03.2014,10.9,1.0,6.7,990.3,3,0.0,3.6,Voronezh
15.03.2014,11.7,1.5,7.3,984.2,4,0.0,3.3,Voronezh
16.03.2014,6.7,-0.2,2.7,970.2,4,3.0,-1.4,Voronezh
17.03.2014,1.2,-1.2,-0.1,969.2,4,2.0,-4.5,Voronezh
18.03.2014,0.0,-4.2,-1.9,979.0,4,1.0,-6.6,Voronezh
